date,sessions,unique_visitors,pageviews,cta_clicks,calendly_loaded,bookings,funnel_commercial,funnel_real_estate,funnel_cta,funnel_book_page,funnel_calendly,funnel_booked
2026-04-15,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-16,7,2,32,11,7,3,2,0,2,2,2,2
2026-04-17,14,9,21,1,1,0,8,0,1,1,1,0
2026-04-18,13,11,17,2,2,1,11,0,2,2,2,1
2026-04-19,15,10,18,1,1,0,10,0,1,1,1,0
2026-04-20,23,18,31,4,4,0,18,0,1,1,1,0
2026-04-21,23,17,27,2,2,0,17,0,1,1,1,0
2026-04-22,23,22,24,1,1,0,20,0,1,2,1,0
2026-04-23,17,12,22,2,2,0,12,0,2,2,2,0
2026-04-24,21,21,21,0,0,0,21,0,0,0,0,0
2026-04-25,15,15,15,0,0,0,15,0,0,0,0,0
2026-04-26,15,15,15,0,0,0,15,0,0,0,0,0
2026-04-27,18,17,22,1,1,1,16,0,1,1,1,1
2026-04-28,31,31,38,3,3,1,29,0,2,2,2,1
2026-04-29,26,25,36,1,1,1,25,0,1,1,1,1
2026-04-30,25,25,29,0,0,0,24,0,0,0,0,0
2026-05-01,2,2,3,0,0,0,2,0,0,0,0,0
2026-05-02,7,4,28,5,4,3,3,0,2,2,2,2
2026-05-03,7,6,5,0,0,0,5,0,0,0,0,0
2026-05-05,2,2,1,0,0,0,1,0,0,0,0,0
2026-05-06,7,7,8,0,0,0,7,0,0,0,0,0
2026-05-07,3,2,3,0,0,0,2,0,0,0,0,0
2026-05-08,7,6,7,0,0,0,5,0,0,0,0,0
2026-05-09,3,3,2,0,0,0,2,0,0,0,0,0
2026-05-10,3,3,3,0,0,0,3,0,0,0,0,0
2026-05-11,4,4,6,0,0,0,4,0,0,0,0,0
2026-05-12,8,3,21,2,2,1,3,0,1,1,1,1
2026-05-13,4,4,5,0,0,0,3,0,0,0,0,0
2026-05-14,10,9,16,0,0,0,8,0,0,0,0,0
2026-05-15,1,1,1,0,0,0,1,0,0,0,0,0
2026-05-16,2,2,2,0,0,0,2,0,0,0,0,0
2026-05-17,6,6,6,0,0,0,6,0,0,0,0,0
2026-05-18,4,4,4,0,0,0,3,0,0,0,0,0
2026-05-19,5,5,5,0,0,0,5,0,0,0,0,0
2026-05-20,1,1,1,0,0,0,1,0,0,0,0,0
2026-05-21,6,4,5,0,0,0,3,0,0,0,0,0
2026-05-22,2,2,1,0,0,0,1,0,0,0,0,0
2026-05-23,6,6,6,0,0,0,6,0,0,0,0,0
